"","time","cod","trel"
"412",107460,0,-12.15
"413",107520,0,-12.1333333333333
"414",107580,0,-12.1166666666667
"415",107640,0,-12.1
"416",107700,0,-12.0833333333333
"417",107760,0,-12.0666666666667
"418",107820,0,-12.05
"419",107880,0,-12.0333333333333
"420",107940,0,-12.0166666666667
"421",108000,0,-12
"422",108060,0,-11.9833333333333
"423",108120,0,-11.9666666666667
"424",108180,0,-11.95
"425",108240,0,-11.9333333333333
"426",108300,0,-11.9166666666667
"427",108360,0,-11.9
"428",108420,0,-11.8833333333333
"429",108480,0,-11.8666666666667
"430",108540,0,-11.85
"431",108600,0,-11.8333333333333
"432",108660,0,-11.8166666666667
"433",108720,0,-11.8
"434",108780,0,-11.7833333333333
"435",108840,0,-11.7666666666667
"436",108900,0,-11.75
"437",108960,0,-11.7333333333333
"438",109020,0,-11.7166666666667
"439",109080,0,-11.7
"440",109140,0,-11.6833333333333
"441",109200,0,-11.6666666666667
"442",109260,0,-11.65
"443",109320,0,-11.6333333333333
"444",109380,0,-11.6166666666667
"445",109440,0,-11.6
"446",109500,0,-11.5833333333333
"447",109560,0,-11.5666666666667
"448",109620,0,-11.55
"449",109680,0,-11.5333333333333
"450",109740,0,-11.5166666666667
"451",109800,0,-11.5
"452",109860,0,-11.4833333333333
"453",109920,0,-11.4666666666667
"454",109980,0,-11.45
"455",110040,0,-11.4333333333333
"456",110100,0,-11.4166666666667
"457",110160,0,-11.4
"458",110220,0,-11.3833333333333
"459",110280,0,-11.3666666666667
"460",110340,0,-11.35
"461",110400,0,-11.3333333333333
"462",110460,0,-11.3166666666667
"463",110520,0,-11.3
"464",110580,0,-11.2833333333333
"465",110640,0,-11.2666666666667
"466",110700,0,-11.25
"467",110760,0,-11.2333333333333
"468",110820,0,-11.2166666666667
"469",110880,0,-11.2
"470",110940,0,-11.1833333333333
"471",111000,0,-11.1666666666667
"472",111060,0,-11.15
"473",111120,0,-11.1333333333333
"474",111180,0,-11.1166666666667
"475",111240,0,-11.1
"476",111300,0,-11.0833333333333
"477",111360,0,-11.0666666666667
"478",111420,0,-11.05
"479",111480,0,-11.0333333333333
"480",111540,0,-11.0166666666667
"481",111600,0,-11
"482",111660,0,-10.9833333333333
"483",111720,0,-10.9666666666667
"484",111780,0,-10.95
"485",111840,0,-10.9333333333333
