"","time","lwp","cth","trel"
"421",1680,NA,4810,-17.5333333333333
"422",1684,NA,4810,-17.5322222222222
"423",1688,NA,4810,-17.5311111111111
"424",1692,NA,4810,-17.53
"425",1696,NA,4810,-17.5288888888889
"426",1700,NA,4810,-17.5277777777778
"427",1704,NA,4810,-17.5266666666667
"428",1708,NA,4810,-17.5255555555556
"429",1712,NA,4810,-17.5244444444444
"430",1716,NA,4810,-17.5233333333333
"431",1720,NA,4810,-17.5222222222222
"432",1724,NA,4810,-17.5211111111111
"433",1728,NA,4810,-17.52
"434",1732,NA,4810,-17.5188888888889
"435",1736,NA,4810,-17.5177777777778
"436",1740,NA,4810,-17.5166666666667
"437",1744,NA,4780,-17.5155555555556
"438",1748,NA,4780,-17.5144444444444
"439",1752,NA,4780,-17.5133333333333
"440",1756,NA,4780,-17.5122222222222
"441",1760,NA,4780,-17.5111111111111
"442",1764,NA,4810,-17.51
"443",1768,NA,4810,-17.5088888888889
"444",1772,NA,4810,-17.5077777777778
"445",1776,NA,4810,-17.5066666666667
"446",1780,NA,4810,-17.5055555555556
"447",1784,NA,4810,-17.5044444444444
"448",1788,NA,4810,-17.5033333333333
"449",1792,NA,4810,-17.5022222222222
"450",1796,NA,4810,-17.5011111111111
"451",1800,NA,4810,-17.5
"452",1804,NA,4810,-17.4988888888889
"453",1808,NA,4810,-17.4977777777778
"454",1812,NA,4810,-17.4966666666667
"455",1816,NA,4810,-17.4955555555556
"456",1820,NA,4840,-17.4944444444444
"457",1824,NA,4840,-17.4933333333333
"458",1828,NA,4840,-17.4922222222222
"459",1832,NA,4810,-17.4911111111111
"460",1836,NA,4810,-17.49
"461",1840,NA,4810,-17.4888888888889
"462",1844,NA,4810,-17.4877777777778
"463",1848,NA,4810,-17.4866666666667
"464",1852,NA,4810,-17.4855555555556
"465",1856,NA,4810,-17.4844444444444
"466",1860,NA,4810,-17.4833333333333
"467",1864,NA,4810,-17.4822222222222
"468",1868,NA,4810,-17.4811111111111
"469",1872,NA,4810,-17.48
"470",1876,NA,4810,-17.4788888888889
"471",1880,NA,4810,-17.4777777777778
"472",1884,NA,4810,-17.4766666666667
"473",1888,NA,4810,-17.4755555555556
"474",1892,NA,4810,-17.4744444444444
"475",1896,NA,4840,-17.4733333333333
"476",1900,NA,4840,-17.4722222222222
"477",1904,NA,4840,-17.4711111111111
"478",1908,NA,4870,-17.47
"479",1912,NA,4870,-17.4688888888889
"480",1916,NA,4870,-17.4677777777778
"481",1920,NA,4870,-17.4666666666667
"482",1924,NA,4870,-17.4655555555556
"483",1928,NA,4870,-17.4644444444444
"484",1932,NA,4900,-17.4633333333333
"485",1936,NA,4900,-17.4622222222222
"486",1940,NA,4900,-17.4611111111111
"487",1944,NA,4900,-17.46
